,feature name,ratio
0,Depress.CBCL,0.14743438626430702
1,Aggressive.CBCL,0.12570182443139644
2,PPSP_distress,0.08345718518431708
3,con_L.RMFG_R.PU_count,0.07999991437718065
4,AnxDep.CBCL,0.06415914375518149
5,con_L.PoCG_R.AM_count,0.049653791080216
6,con_L.CA_R.STG_count,0.04231733766043712
7,con_L.CMFG_L.TH_count,0.03411612058126087
8,con_L.STG_R.IN_count,0.03187505200771228
9,con_L.CMFG_R.PU_count,0.024648934359370392
10,con_L.ITG_R.LG_count,0.02194026174905348
11,con_L.SFG_L.SPG_count,0.020559271917899448
12,con_L.CMFG_L.TP_count,0.019313542471704352
13,con_L.POR_R.LG_count,0.017862646835970164
14,con_L.BSTS_R.CA_count,0.016816817240348954
15,con_L.LOG_R.HI_count,0.01642811817533133
16,con_L.CER_L.PU_count,0.015451322723759386
17,con_L.FG_L.ITG_count,0.01536165604248359
18,con_L.SMG_R.PrCG_count,0.015098574414812134
19,con_L.SPG_L.TTG_count,0.014574669026566896
0,AnxDep.CBCL,0.17657042747667298
1,Depress.CBCL,0.1539001525979339
2,Conduct.CBCL,0.0976143542250961
3,PPSP_frequency,0.0952755830658656
4,nihtbx_list_uncorrected,0.07673764067205799
5,DA_baseline,0.07133429474271812
6,Internal.and.External.Comobidity,0.06186895683936412
7,PPSP_distress,0.058613776390730433
8,totalBAS,0.0359340658437723
9,Ne_PN,0.02809798998223809
10,upps_lack_of_perseverance,0.022163463936393214
11,nihtbx_totalcomp_uncorrected,0.022109840624280452
12,mania_binary_1_year_follow_up,0.020294958744293053
13,abcd_site.y,0.01636655851273111
14,Thought.CBCL,0.008513949161628395
15,upps_negative_urgency,0.0073766341122310725
16,upps_total,0.006816767304705175
17,height,0.0067856050377664715
18,fes_3_p,0.005725011153360417
19,SWTD_baseline,0.0035330878686731333
0,con_L.HI_R.PoCG_count,0.12421230986130817
1,con_L.PA_R.PoCG_count,0.04808872689890278
2,con_L.PCU_R.BSTS_count,0.028455622358764282
3,con_L.CACG_L.RMFG_count,0.02747402902554354
4,con_L.POR_L.TH_count,0.02396830870895465
5,con_L.SMG_R.SFG_count,0.021056468174685317
6,con_L.PTR_R.RMFG_count,0.01663990817532298
7,con_L.AC_R.PCAL_count,0.015414224836861333
8,con_R.PaCG_R.CER_count,0.014799155692127206
9,con_L.IN_R.SMG_count,0.013064394811223677
10,con_L.PA_R.RMFG_count,0.012456687479037238
11,con_L.POR_L.FP_count,0.012335534472112828
12,con_L.POP_L.PoCG_count,0.011915294385755363
13,con_R.PU_R.MOFG_count,0.011459544593137834
14,con_L.PCU_R.LOG_count,0.011113980686930015
15,con_L.PCU_R.HI_count,0.01099962487510493
16,con_L.PU_R.AC_count,0.010836455781624397
17,con_R.CU_R.PCU_count,0.010575763467346
18,con_L.LOG_R.PHIG_count,0.010018135510715485
19,con_L.LOFG_L.POP_count,0.009994952213335056
