,feature name,ratio
0,PPSP_frequency,0.14270501469731078
1,Depress.CBCL,0.09752595479530435
2,PPSP_distress,0.08254096331125775
3,TotProb.CBCL,0.07067122899697863
4,upps_negative_urgency,0.033359059889247235
5,tfmri_nback_all_posface.vs.neutface_beta_cort.destrieux_g.front.inf.orbital.rh,0.030911850277726104
6,tfmri_nback_all_emotion_beta_cort.destrieux_g.occipital.middle.rh,0.02963497405321779
7,tfmri_nback_all_posface.vs.neutface_beta_cort.destrieux_g.and.s.cingul.mid.post.rh,0.02662332910392594
8,Thought.CBCL,0.025746767755521004
9,tfmri_nback_all_negface.vs.neutface_beta_cort.destrieux_s.front.inf.lh,0.025571337962135017
10,nihtbx_picvocab_uncorrected,0.022811782978495673
11,tfmri_nback_all_0.back_beta_cort.destrieux_g.temp.sup.g.t.transv.rh,0.02263711649319892
12,tfmri_nback_all_emotion_beta_cort.destrieux_s.temporal.sup.lh,0.021405598541093553
13,tfmri_nback_all_face.vs.place_beta_cort.destrieux_g.temp.sup.g.t.transv.rh,0.019317625612613187
14,tfmri_nback_all_emotion_beta_cort.destrieux_s.interm.prim.jensen.lh,0.01898267480708043
15,tfmri_nback_all_negface.vs.neutface_beta_cort.destrieux_s.precentral.sup.part.lh,0.018175025641521986
16,tfmri_nback_all_2.back_beta_cort.destrieux_g.pariet.inf.angular.rh,0.018011250855944197
17,tfmri_nback_all_2.back_beta_cort.destrieux_g.and.s.transv.frontopol.rh,0.017119981293063493
18,tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_s.orbital.h.shaped.lh,0.015051514350473885
19,tfmri_nback_all_2.back_beta_cort.destrieux_pole.occipital.rh,0.014484185593883168
0,Depress.CBCL,0.11736971369835747
1,PPSP_frequency,0.10405863664193607
2,Aggressive.CBCL,0.08887614490113858
3,poa_total_6month_follow_up,0.06166038172490707
4,TotProb.CBCL,0.05969351781132544
5,Conduct.CBCL,0.0580609382822505
6,Internal.CBCL,0.054006073235387274
7,AnxDep.CBCL,0.04737993459156487
8,Ne_PN,0.04658361189691328
9,RuleBreak.CBCL,0.028027100904686467
10,fes_3_p,0.02689058907122322
11,fes_6_p,0.02438834108771554
12,Attention.CBCL,0.021195871536092016
13,HC,0.020784448128897137
14,sex,0.0190153453384757
15,Opposit.CBCL,0.01811275807123179
16,DA_baseline,0.01776509035398498
17,upps_lack_of_planning,0.01668261602347342
18,Somatic.CBCL,0.01562663322515459
19,fes_8_p,0.014860322806580752
0,tfmri_nback_all_posface.vs.neutface_beta_cort.destrieux_g.oc.temp.med.parahip.lh,0.2586515713084626
1,tfmri_nback_all_face.vs.place_beta_cort.destrieux_g.orbital.lh,0.11957638978976592
2,tfmri_nback_all_face.vs.place_beta_cort.destrieux_g.occipital.middle.lh,0.08079123101815439
3,tfmri_nback_all_2.back_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,0.06437372208324572
4,tfmri_nback_all_2.back_beta_cort.destrieux_g.temp.sup.lateral.rh,0.04014543831152622
5,tfmri_nback_all_0.back_beta_cort.destrieux_s.orbital.lateral.rh,0.03908342017610704
6,tfmri_nback_all_emotion_beta_cort.destrieux_g.oc.temp.lat.fusifor.lh,0.03537789880252004
7,tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.precuneus.lh,0.035085518412055136
8,tfmri_nback_all_emotion_beta_cort.destrieux_g.and.s.paracentral.rh,0.03036472175232687
9,tfmri_nback_all_negface.vs.neutface_beta_cort.destrieux_g.precentral.rh,0.02881202264896618
10,tfmri_nback_all_place_beta_cort.destrieux_s.orbital.h.shaped.rh,0.025809550348320245
11,tfmri_nback_all_place_beta_cort.destrieux_g.rectus.rh,0.022558209249155053
12,tfmri_nback_all_emotion_beta_cort.destrieux_pole.temporal.rh,0.02176672336527625
13,tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.cuneus.rh,0.01994190958900306
14,tfmri_nback_all_0.back_beta_cort.destrieux_g.cingul.post.dorsal.rh,0.018613367089595764
15,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.occipital.middle.rh,0.018219909392703237
16,tfmri_nback_all_place_beta_cort.destrieux_s.circular.insula.inf.lh,0.016948719936421823
17,tfmri_nback_all_face.vs.place_beta_cort.destrieux_s.oc.temp.med.and.lingual.lh,0.011664831735760545
18,tfmri_nback_all_2.back_beta_cort.destrieux_g.front.inf.triangul.lh,0.010793499987177815
19,tfmri_nback_all_place_beta_cort.destrieux_g.occipital.middle.lh,0.007216511655326913
