,feature name,ratio
0,lh_G_cuneus_volume._.13,0.12327699388744925
1,PPSP_frequency,0.09619807466137077
2,Depress.CBCL,0.07539576812808843
3,AnxDep.CBCL,0.07240361247022573
4,close_friends,0.05143935330283752
5,Conduct.CBCL,0.04318355999891208
6,rh_S_precentral.sup.part_area._.14,0.03882979338651581
7,con_L.POR_L.PU_count,0.03875718800578409
8,con_L.PU_R.TH_count,0.036084219808775686
9,con_L.AM_R.AM_count,0.02988712582699497
10,wm.lh.transversetemporal._.18,0.022767036392781586
11,poa_total_6month_follow_up,0.02213457339050109
12,con_L.FG_L.SFG_count,0.019778517921577917
13,con_L.CACG_L.POR_count,0.0162048483032465
14,con_R.PCG_R.FP_count,0.01574905686302401
15,con_R.HI_R.LOFG_count,0.014969847203148137
16,con_R.RACG_R.CER_count,0.0144330290269404
17,con_L.LOFG_L.FP_count,0.01271996104557503
18,con_L.RACG_R.MTG_count,0.012605094788920211
19,con_L.RACG_R.PA_count,0.012467739068566823
0,AnxDep.CBCL,0.17657042747667298
1,Depress.CBCL,0.1539001525979339
2,Conduct.CBCL,0.0976143542250961
3,PPSP_frequency,0.0952755830658656
4,nihtbx_list_uncorrected,0.07673764067205799
5,DA_baseline,0.07133429474271812
6,Internal.and.External.Comobidity,0.06186895683936412
7,PPSP_distress,0.058613776390730433
8,totalBAS,0.0359340658437723
9,Ne_PN,0.02809798998223809
10,upps_lack_of_perseverance,0.022163463936393214
11,nihtbx_totalcomp_uncorrected,0.022109840624280452
12,mania_binary_1_year_follow_up,0.020294958744293053
13,abcd_site.y,0.01636655851273111
14,Thought.CBCL,0.008513949161628395
15,upps_negative_urgency,0.0073766341122310725
16,upps_total,0.006816767304705175
17,height,0.0067856050377664715
18,fes_3_p,0.005725011153360417
19,SWTD_baseline,0.0035330878686731333
0,con_L.MOFG_L.HI_count,0.059190623260964165
1,con_L.PCAL_L.TTG_count,0.04415427694464683
2,con_L.EC_L.PHIG_count,0.03749611226426218
3,rh_S_circular_insula_ant_meancurv._.15,0.03172917130914327
4,con_L.ITG_R.PU_count,0.028415320841759514
5,con_L.SFG_R.CMFG_count,0.027319770114745536
6,con_L.CU_L.PU_count,0.025807825033398006
7,lh_S_collat_transv_post_area._.10,0.025806486230636465
8,con_L.PCU_L.HI_count,0.02521867828723876
9,lh_superiorfrontal_thickness._.5,0.024464413270976714
10,lh_parstriangularis_meancurv._.3,0.024443750247126993
11,con_L.TH_R.BSTS_count,0.02415734534006165
12,con_L.PHIG_R.PTR_count,0.023537471368489826
13,con_L.TH_R.PA_count,0.022783456642237302
14,con_L.LOFG_R.PU_count,0.022449295864287042
15,lh_parsopercularis_meancurv._.3,0.022381563193833783
16,con_L.CU_R.SFG_count,0.02191329297707179
17,con_L.SFG_R.ITG_count,0.021403508698925388
18,con_L.ITG_R.CMFG_count,0.019137079311252254
19,con_R.PHIG_R.PrCG_count,0.018916520461368685
