,feature name,ratio
0,PPSP_frequency,0.14495073742191608
1,Internal.and.External.Comobidity,0.13320233457713426
2,AnxDep.CBCL,0.1145333869767635
3,rsfmri_var_cort.destrieux_s.oc.temp.med.and.lingual.lh,0.06883626539209979
4,AnxDisord.CBCL,0.06653394418176128
5,high.educ,0.05460635676417797
6,rsfmri_var_cort.destrieux_s.temporal.sup.rh,0.04345618036838735
7,Depress.CBCL,0.04339756447627598
8,Aggressive.CBCL,0.03561507429539418
9,Ne,0.02854082256997355
10,rsfmri_var_cort.destrieux_s.occipital.ant.rh,0.02358440835194625
11,rsfmri_var_cort.destrieux_g.cingul.post.ventral.rh,0.0219367535122658
12,rsfmri_var_cort.destrieux_s.orbital.h.shaped.rh,0.021666843698025722
13,rsfmri_var_cort.destrieux_g.insular.short.lh,0.019731873182656196
14,Stress.CBCL,0.01652306008040522
15,rsfmri_var_cort.destrieux_g.and.s.subcentral.lh,0.014404907333803736
16,rsfmri_var_cort.destrieux_lat.fis.ant.horizont.rh,0.013902397745748023
17,rsfmri_var_cort.destrieux_s.parieto.occipital.lh,0.010409750184146567
18,rsfmri_var_cort.destrieux_g.front.sup.lh,0.009849905237498286
19,rsfmri_var_cort.destrieux_g.cingul.post.dorsal.rh,0.007992476074033443
0,Internal.and.External.Comobidity,0.16492090604217996
1,PPSP_distress,0.11903138663379499
2,AnxDep.CBCL,0.11820418679458196
3,Depress.CBCL,0.11134293489873741
4,poa_total_6month_follow_up,0.08916611379424176
5,Conduct.CBCL,0.08186196519727594
6,PPSP_frequency,0.07484744302593936
7,AnxDisord.CBCL,0.070848395071696
8,nihtbx_cardsort_uncorrected,0.04846229902118447
9,Social.CBCL,0.016542311792887926
10,WithDep.CBCL,0.013631324551992443
11,fes_8_p,0.010955695890900789
12,nihtbx_pattern_uncorrected,0.00888159554025199
13,abcd_site,0.006594424239899664
14,HC_CHM,0.005833536929687209
15,nihtbx_flanker_uncorrected,0.005455357758386742
16,DOES_baseline,0.005254766650708526
17,nihtbx_reading_uncorrected,0.00466160659673387
18,Somatic.CBCL,0.004572791687070963
19,age,0.004444832788438074
0,rsfmri_var_cort.destrieux_s.orbital.med.olfact.rh,0.1116959745292574
1,rsfmri_var_cort.destrieux_g.oc.temp.lat.fusifor.lh,0.1061471879601461
2,rsfmri_var_cort.destrieux_g.pariet.inf.angular.lh,0.053180890294621516
3,rsfmri_var_cort.destrieux_g.and.s.cingul.ant.lh,0.03603830062109446
4,rsfmri_var_cort.destrieux_g.front.inf.triangul.lh,0.028879911997004112
5,rsfmri_var_cort.destrieux_g.oc.temp.med.lingual.rh,0.02498218096416693
6,rsfmri_var_cort.destrieux_g.cingul.post.dorsal.rh,0.021841584133315124
7,rsfmri_var_cort.destrieux_s.precentral.inf.part.rh,0.020778677429796156
8,rsfmri_var_cort.destrieux_g.precentral.lh,0.017294493872117355
9,rsfmri_var_cort.destrieux_s.oc.middle.and.lunatus.lh,0.01654516984578195
10,rsfmri_var_cort.destrieux_g.and.s.subcentral.rh,0.01400096570321159
11,rsfmri_var_cort.destrieux_s.postcentral.rh,0.01397362672664787
12,rsfmri_var_cort.destrieux_g.and.s.frontomargin.lh,0.0139181963917645
13,rsfmri_var_cort.destrieux_g.and.s.paracentral.rh,0.013693159015585123
14,rsfmri_var_cort.destrieux_g.front.inf.opercular.rh,0.013402147716392091
15,rsfmri_var_cort.destrieux_g.insular.short.lh,0.01286024619534275
16,rsfmri_var_cort.destrieux_pole.temporal.lh,0.012611699397273971
17,rsfmri_var_cort.destrieux_s.temporal.inf.lh,0.0120049994828138
18,rsfmri_var_cort.destrieux_g.precuneus.lh,0.010923368570542425
19,rsfmri_var_cort.destrieux_g.precuneus.rh,0.010464150669324804
